gamma	 omPrim	 omMin	 omMax	 probtot
1.25893	2.19513e-12	5.35999e-13	8.98992e-12	4.778e+06
1.25893	5.95379e-12	1.45378e-12	2.43831e-11	646575
1.25893	1.61483e-11	3.94304e-12	6.61337e-11	87457
1.25893	4.37986e-11	1.06946e-11	1.79373e-10	11712.1
1.25893	1.18794e-10	2.90066e-11	4.86507e-10	1599.21
1.25893	3.22201e-10	7.86739e-11	1.31954e-09	218.982
1.25893	8.73897e-10	2.13385e-10	3.57895e-09	30.2755
1.25893	2.37025e-09	5.78759e-10	9.7071e-09	4.52676
1.25893	6.42875e-09	1.56975e-09	2.63283e-08	1.17233
1.25893	1.74365e-08	4.25759e-09	7.14095e-08	1.00247
1.25893	4.72926e-08	1.15478e-08	1.93682e-07	1.0106
1.25893	1.2827e-07	3.13207e-08	5.25318e-07	1.01109
1.25893	3.47905e-07	8.49501e-08	1.42481e-06	1.01112
1.25893	9.43612e-07	2.30408e-07	3.86445e-06	1.01112
1.25893	2.55933e-06	6.24928e-07	1.04814e-05	1.01111
1.25893	6.94161e-06	1.69497e-06	2.84278e-05	1.01111
1.25893	1.88275e-05	4.59716e-06	7.71003e-05	1.01111
1.25893	5.10654e-05	1.24683e-05	0.00020909	1.01111
1.25893	0.000138503	3.38146e-05	0.000566908	1.01111
1.25893	0.000375659	9.1693e-05	0.00153614	1.0111
1.25893	0.00101889	0.000248539	0.00415562	1.01107
1.25893	0.0027635	0.000672945	0.0111925	1.01108
1.25893	0.00749538	0.00181674	0.0297927	1.01157
1.25893	0.0203295	0.00486622	0.0769276	1.01517
1.25893	0.0551392	0.0127679	0.184616	1.04313
1.25893	0.149552	0.0318149	0.381534	1.27768
1.25893	0.405627	0.070702	0.664552	0.972779
1.25893	1.10017	0.128702	1.3591	0.976124
1.25893	2.98396	0.184506	3.24289	0.973949
1.25893	8.09332	0.219614	8.35225	0.973357
1.58489	2.19513e-12	2.77117e-13	1.73883e-11	3.44534e+06
1.58489	5.95379e-12	7.51617e-13	4.71618e-11	477009
1.58489	1.61483e-11	2.03859e-12	1.27916e-10	64304.4
1.58489	4.37986e-11	5.52921e-12	3.46942e-10	8784.06
1.58489	1.18794e-10	1.49967e-11	9.41001e-10	1196.9
1.58489	3.22201e-10	4.06752e-11	2.55225e-09	163.291
1.58489	8.73897e-10	1.10322e-10	6.9224e-09	22.675
1.58489	2.37025e-09	2.99224e-10	1.87754e-08	3.49766
1.58489	6.42875e-09	8.11578e-10	5.09241e-08	1.13472
1.58489	1.74365e-08	2.20122e-09	1.3812e-07	1.02061
1.58489	4.72926e-08	5.97031e-09	3.74619e-07	1.01554
1.58489	1.2827e-07	1.61931e-08	1.01607e-06	1.01548
1.58489	3.47905e-07	4.39201e-08	2.75585e-06	1.01553
1.58489	9.43612e-07	1.19123e-07	7.4746e-06	1.01554
1.58489	2.55933e-06	3.23094e-07	2.0273e-05	1.01554
1.58489	6.94161e-06	8.76317e-07	5.49844e-05	1.01554
1.58489	1.88275e-05	2.37679e-06	0.000149123	1.01554
1.58489	5.10654e-05	6.44636e-06	0.000404388	1.01554
1.58489	0.000138503	1.74832e-05	0.00109627	1.01553
1.58489	0.000375659	4.74112e-05	0.00296943	1.01552
1.58489	0.00101889	0.000128533	0.0080249	1.0155
1.58489	0.0027635	0.000348186	0.0215553	1.01555
1.58489	0.00749538	0.000941217	0.0569695	1.0164
1.58489	0.0203295	0.00252989	0.1445	1.02322
1.58489	0.0551392	0.00669841	0.33332	1.07527
1.58489	0.149552	0.0170661	0.643194	1.59813
1.58489	0.405627	0.0397496	0.99052	0.945013
1.58489	1.10017	0.0779482	1.68506	0.960413
1.58489	2.98396	0.120721	3.56886	0.961428
1.58489	8.09332	0.151338	8.67821	0.963375
1.99526	2.19513e-12	1.58469e-13	3.04071e-11	2.48034e+06
1.99526	5.95379e-12	4.29811e-13	8.24725e-11	337674
1.99526	1.61483e-11	1.16577e-12	2.23688e-10	46551.9
1.99526	4.37986e-11	3.16187e-12	6.06702e-10	6164.78
1.99526	1.18794e-10	8.57587e-12	1.64554e-09	870.837
1.99526	3.22201e-10	2.32601e-11	4.46316e-09	117.084
1.99526	8.73897e-10	6.30877e-11	1.21053e-08	16.2065
1.99526	2.37025e-09	1.71111e-10	3.28329e-08	2.75974
1.99526	6.42875e-09	4.641e-10	8.90517e-08	1.10649
1.99526	1.74365e-08	1.25876e-09	2.41532e-07	1.02134
1.99526	4.72926e-08	3.41411e-09	6.55102e-07	1.01847
1.99526	1.2827e-07	9.26001e-09	1.77681e-06	1.0187
1.99526	3.47905e-07	2.51157e-08	4.81919e-06	1.0187
1.99526	9.43612e-07	6.81205e-08	1.30709e-05	1.01871
1.99526	2.55933e-06	1.84761e-07	3.54515e-05	1.01872
1.99526	6.94161e-06	5.01122e-07	9.61509e-05	1.01872
1.99526	1.88275e-05	1.35917e-06	0.000260764	1.01871
1.99526	5.10654e-05	3.68637e-06	0.000707094	1.01871
