r [2M]	Log(gamma)	Diff_length	dR	Dlenght/dR
1	0.027629	-3.46322	-0.602217	0.00137721
1	0.118538	-3.43285	-0.602217	0.00147695
1	0.209447	-3.40249	-0.602217	0.0015839
1	0.300356	-3.37213	-0.602217	0.0016986
1	0.391265	-3.34176	-0.602217	0.00182161
1	0.482174	-3.3114	-0.602217	0.00195353
1	0.573084	-3.28103	-0.602217	0.002095
1	0.663993	-3.25067	-0.602217	0.00224671
1	0.754902	-3.22031	-0.602217	0.00240941
1	0.845811	-3.18994	-0.602217	0.00258389
1	0.93672	-3.15958	-0.602217	0.00277101
1	1.02763	-3.12922	-0.602217	0.00297167
1	1.11854	-3.09885	-0.602217	0.00318687
1	1.20945	-3.06849	-0.602217	0.00341766
1	1.30036	-3.03813	-0.602217	0.00366515
1	1.39127	-3.00776	-0.602217	0.00393057
1	1.48217	-2.9774	-0.602217	0.00421521
1	1.57308	-2.94703	-0.602217	0.00452046
1	1.66399	-2.91667	-0.602217	0.00484782
1	1.7549	-2.88631	-0.602217	0.00519889
1	1.84581	-2.85594	-0.602217	0.00557537
1	1.93672	-2.82558	-0.602217	0.00597912
1	2.02763	-2.79522	-0.602217	0.00641211
1	2.11854	-2.76485	-0.602217	0.00687646
1	2.20945	-2.73449	-0.602217	0.00737443
1	2.30036	-2.70413	-0.602217	0.00790846
1	2.39127	-2.67376	-0.602217	0.00848117
1	2.48217	-2.6434	-0.602217	0.00909535
1	2.57308	-2.61303	-0.602217	0.00975401
1	2.66399	-2.58267	-0.602217	0.0104604
1	2.7549	-2.55231	-0.602217	0.0112179
1	2.84581	-2.52194	-0.602217	0.0120302
1	2.93672	-2.49158	-0.602217	0.0129014
1	3.02763	-2.46122	-0.602217	0.0138357
1	3.11854	-2.43085	-0.602217	0.0148376
1	3.20945	-2.40049	-0.602217	0.0159121
1	3.30036	-2.37013	-0.602217	0.0170644
1	3.39127	-2.33976	-0.602217	0.0183002
1	3.48217	-2.3094	-0.602217	0.0196254
1	3.57308	-2.27903	-0.602217	0.0210467
1	3.66399	-2.24867	-0.602217	0.0225708
1	3.7549	-2.21831	-0.602217	0.0242053
1	3.84581	-2.18794	-0.602217	0.0259582
1	3.93672	-2.15758	-0.602217	0.027838
1	4.02763	-2.12722	-0.602217	0.0298539
1	4.11854	-2.09685	-0.602217	0.0320158
1	4.20945	-2.06649	-0.602217	0.0343343
1	4.30036	-2.03613	-0.602217	0.0368207
1	4.39127	-2.00576	-0.602217	0.0394871
1	4.48217	-1.9754	-0.602217	0.0423467
1	4.57308	-1.94503	-0.602217	0.0454133
1	4.66399	-1.91467	-0.602217	0.048702
1	4.7549	-1.88431	-0.602217	0.0522288
1	4.84581	-1.85394	-0.602217	0.0560111
1	4.93672	-1.82358	-0.602217	0.0600672
1	5.02763	-1.79322	-0.602217	0.0644171
1	5.11854	-1.76285	-0.602217	0.069082
1	5.20945	-1.73249	-0.602217	0.0740847
1	5.30036	-1.70213	-0.602217	0.0794497
1	5.39127	-1.67176	-0.602217	0.0852032
1	5.48217	-1.6414	-0.602217	0.0913733
1	5.57308	-1.61103	-0.602217	0.0979903
1	5.66399	-1.58067	-0.602217	0.105086
1	5.7549	-1.55031	-0.602217	0.112696
1	5.84581	-1.51994	-0.602217	0.120858
1	5.93672	-1.48958	-0.602217	0.12961
1	6.02763	-1.45922	-0.602217	0.138996
1	6.11854	-1.42885	-0.602217	0.149061
1	6.20945	-1.39849	-0.602217	0.159856
1	6.30036	-1.36813	-0.602217	0.171432
1	6.39127	-1.33776	-0.602217	0.183847
1	6.48217	-1.3074	-0.602217	0.19716
1	6.57308	-1.27703	-0.602217	0.211438
1	6.66399	-1.24667	-0.602217	0.22675
1	6.7549	-1.21631	-0.602217	0.24317
1	6.84581	-1.18594	-0.602217	0.26078
1	6.93672	-1.15558	-0.602217	0.279665
1	7.02763	-1.12522	-0.602217	0.299917
1	7.11854	-1.09485	-0.602217	0.321636
1	7.20945	-1.06449	-0.602217	0.344928
1	7.30036	-1.03413	-0.602217	0.369907
1	7.39127	-1.00376	-0.602217	0.396694
1	7.48217	-0.973398	-0.602217	0.425421
1	7.57308	-0.943034	-0.602217	0.456229
1	7.66399	-0.91267	-0.602217	0.489268
1	7.7549	-0.882307	-0.602217	0.524699
1	7.84581	-0.851943	-0.602217	0.562696
1	7.93672	-0.82158	-0.602217	0.603445
1	8.02763	-0.791216	-0.602217	0.647144
1	8.11854	-0.760852	-0.602217	0.694009
1	8.20945	-0.730489	-0.602217	0.744266
1	8.30036	-0.700125	-0.602217	0.798164
1	8.39127	-0.669761	-0.602217	0.855964
1	8.48217	-0.639398	-0.602217	0.917951
1	8.57308	-0.609034	-0.602217	0.984426
1	8.66399	-0.57867	-0.602217	1.05571
1	8.7549	-0.548307	-0.602217	1.13217
1	8.84581	-0.517943	-0.602217	1.21415
1	8.93672	-0.48758	-0.602217	1.30208
1	9.02763	-0.457216	-0.602217	1.39637
5	0.027629	-2.09426	-0.0805429	0.0096891
5	0.118538	-2.0639	-0.0805429	0.0103908
5	0.209447	-2.03353	-0.0805429	0.0111432
5	0.300356	-2.00317	-0.0805429	0.0119502
5	0.391265	-1.9728	-0.0805429	0.0128156
5	0.482174	-1.94244	-0.0805429	0.0137436
5	0.573084	-1.91208	-0.0805429	0.0147389
5	0.663993	-1.88171	-0.0805429	0.0158063
5	0.754902	-1.85135	-0.0805429	0.0169509
5	0.845811	-1.82099	-0.0805429	0.0181784
5	0.93672	-1.79062	-0.0805429	0.0194948
5	1.02763	-1.76026	-0.0805429	0.0209066
5	1.11854	-1.7299	-0.0805429	0.0224206
5	1.20945	-1.69953	-0.0805429	0.0240442
5	1.30036	-1.66917	-0.0805429	0.0257854
5	1.39127	-1.6388	-0.0805429	0.0276527
5	1.48217	-1.60844	-0.0805429	0.0296553
5	1.57308	-1.57808	-0.0805429	0.0318028
5	1.66399	-1.54771	-0.0805429	0.0341059
5	1.7549	-1.51735	-0.0805429	0.0365757
5	1.84581	-1.48699	-0.0805429	0.0392244
5	1.93672	-1.45662	-0.0805429	0.0420649
5	2.02763	-1.42626	-0.0805429	0.0451111
5	2.11854	-1.3959	-0.0805429	0.0483779
5	2.20945	-1.36553	-0.0805429	0.0518813
5	2.30036	-1.33517	-0.0805429	0.0556384
5	2.39127	-1.3048	-0.0805429	0.0596675
5	2.48217	-1.27444	-0.0805429	0.0639885
5	2.57308	-1.24408	-0.0805429	0.0686223
5	2.66399	-1.21371	-0.0805429	0.0735917
5	2.7549	-1.18335	-0.0805429	0.078921
5	2.84581	-1.15299	-0.0805429	0.0846362
5	2.93672	-1.12262	-0.0805429	0.0907653
5	3.02763	-1.09226	-0.0805429	0.0973382
5	3.11854	-1.0619	-0.0805429	0.104387
5	3.20945	-1.03153	-0.0805429	0.111947
5	3.30036	-1.00117	-0.0805429	0.120053
5	3.39127	-0.970805	-0.0805429	0.128747
5	3.48217	-0.940441	-0.0805429	0.138071
5	3.57308	-0.910078	-0.0805429	0.148069
5	3.66399	-0.879714	-0.0805429	0.158792
5	3.7549	-0.84935	-0.0805429	0.170291
5	3.84581	-0.818987	-0.0805429	0.182623
5	3.93672	-0.788623	-0.0805429	0.195848
5	4.02763	-0.758259	-0.0805429	0.210031
5	4.11854	-0.727896	-0.0805429	0.225241
5	4.20945	-0.697532	-0.0805429	0.241552
5	4.30036	-0.667169	-0.0805429	0.259044
5	4.39127	-0.636805	-0.0805429	0.277804
5	4.48217	-0.606441	-0.0805429	0.297921
5	4.57308	-0.576078	-0.0805429	0.319496
5	4.66399	-0.545714	-0.0805429	0.342633
5	4.7549	-0.51535	-0.0805429	0.367445
5	4.84581	-0.484987	-0.0805429	0.394054
5	4.93672	-0.454623	-0.0805429	0.422591
5	5.02763	-0.424259	-0.0805429	0.453193
5	5.11854	-0.393896	-0.0805429	0.486012
5	5.20945	-0.363532	-0.0805429	0.521208
5	5.30036	-0.333169	-0.0805429	0.558952
5	5.39127	-0.302805	-0.0805429	0.599429
5	5.48217	-0.272441	-0.0805429	0.642838
5	5.57308	-0.242078	-0.0805429	0.68939
5	5.66399	-0.211714	-0.0805429	0.739314
5	5.7549	-0.18135	-0.0805429	0.792853
5	5.84581	-0.150987	-0.0805429	0.850269
5	5.93672	-0.120623	-0.0805429	0.911842
