r [2M]	Log(gamma)	Acc	Adv	Diff	EmaxHillas	Sy	IC/pp	pg/Bremss
1	0.291531	-0.923608	1.1646	4.93085	24.1343	-0.28667	-1.01136	3.5564
1	0.372339	-0.896618	1.1646	4.90386	24.1343	-0.367478	-1.10044	3.48435
1	0.453147	-0.869628	1.1646	4.87687	24.1343	-0.448286	-1.17724	3.42257
1	0.533956	-0.842638	1.1646	4.84988	24.1343	-0.529094	-1.24534	3.3685
1	0.614764	-0.815648	1.1646	4.8229	24.1343	-0.609902	-1.30722	3.32041
1	0.695572	-0.788658	1.1646	4.79591	24.1343	-0.69071	-1.36465	3.27713
1	0.77638	-0.761668	1.1646	4.76892	24.1343	-0.771518	-1.4189	3.23777
1	0.857188	-0.734678	1.1646	4.74193	24.1343	-0.852326	-1.47087	3.20168
1	0.937996	-0.707689	1.1646	4.71494	24.1343	-0.933134	-1.52123	3.16836
1	1.0188	-0.680699	1.1646	4.68795	24.1343	-1.01394	-1.57047	3.13742
1	1.09961	-0.653709	1.1646	4.66096	24.1343	-1.09475	-1.61895	3.10854
1	1.18042	-0.626719	1.1646	4.63397	24.1343	-1.17556	-1.66695	3.08146
1	1.26123	-0.599729	1.1646	4.60698	24.1343	-1.25637	-1.71468	3.05596
1	1.34204	-0.572739	1.1646	4.57999	24.1343	-1.33717	-1.76229	3.03189
1	1.42284	-0.545749	1.1646	4.553	24.1343	-1.41798	-1.8099	3.00907
1	1.50365	-0.518759	1.1646	4.52601	24.1343	-1.49879	-1.85759	2.9874
1	1.58446	-0.491769	1.1646	4.49902	24.1343	-1.5796	-1.90539	2.96675
1	1.66527	-0.464779	1.1646	4.47203	24.1343	-1.66041	-1.9533	2.94705
1	1.74608	-0.43779	1.1646	4.44504	24.1343	-1.74122	-2.00129	2.9282
1	1.82688	-0.4108	1.1646	4.41805	24.1343	-1.82202	-2.0493	2.91013
1	1.90769	-0.38381	1.1646	4.39106	24.1343	-1.90283	-2.09722	2.89278
1	1.9885	-0.35682	1.1646	4.36407	24.1343	-1.98364	-2.14493	2.87611
