log(E/eV)	pSyn	eIC	pPP	pPG	totAbs
-2	36.2587	30.8627	-100	-100	36.2587	-100
-1.79798	36.4102	31.2259	-100	-100	36.4102	-100
-1.59596	36.5609	31.5833	-100	-100	36.5609	-100
-1.39394	36.7106	31.9356	-100	-100	36.7106	-100
-1.19192	36.8584	32.2816	-100	-100	36.8584	-100
-0.989899	37.0045	32.6199	-100	-100	37.0045	-100
-0.787879	37.1491	32.9507	-100	-100	37.1491	-100
-0.585859	37.2931	33.2716	-100	-100	37.2932	-100
-0.383838	37.4369	33.5816	-100	-100	37.4369	-100
-0.181818	37.5802	33.8781	-100	-100	37.5803	-100
0.020202	37.723	34.1592	-100	-100	37.7231	-100
0.222222	37.8657	34.4233	-100	-100	37.8658	-100
0.424242	38.0088	34.6713	-100	-100	38.009	-100
0.626263	38.1529	34.8968	-100	-100	38.1531	-100
0.828283	38.2983	35.0983	-100	-100	38.2985	-100
1.0303	38.4451	35.2684	-100	-100	38.4454	-100
1.23232	38.5937	35.3937	-100	-100	38.5939	-100
1.43434	38.7445	35.4896	-100	-100	38.7448	-100
1.63636	38.8981	35.5654	-100	-100	38.8983	-100
1.83838	39.0546	35.6222	-100	-100	39.0548	-100
2.0404	39.2142	35.6983	-100	-100	39.2144	-100
2.24242	39.3766	35.7786	-100	-100	39.3768	-100
2.44444	39.5416	35.8454	-100	-100	39.5417	-100
2.64646	39.7088	35.963	-100	-100	39.7088	-100
2.84848	39.8774	36.0205	-100	-100	39.8775	-100
3.05051	40.0464	36.0571	-100	-100	40.0464	-100
3.25253	40.215	36.1529	-100	-100	40.215	-100
3.45455	40.3826	35.9629	-100	-100	40.3827	-100
3.65657	40.5481	35.7799	-100	-100	40.5481	-100
3.85859	40.7093	35.7772	-100	-100	40.7093	-100
4.06061	40.8657	35.8124	-100	-100	40.8657	28.6964
4.26263	41.0179	35.856	-100	-100	41.0179	30.8719
4.46465	41.1648	35.8994	-100	-100	41.1648	-100
4.66667	41.3032	35.9398	-100	-100	41.3032	33.7688
4.86869	41.4323	35.9743	-100	-100	41.4323	33.8881
5.07071	41.5551	35.9923	-100	-100	41.5551	34.9409
5.27273	41.6716	35.9961	-100	-100	41.6716	35.7663
5.47475	41.776	35.9805	-100	-100	41.776	36.4151
5.67677	41.866	35.9501	-100	-100	41.866	36.9407
5.87879	41.9477	35.9148	-100	-100	41.9477	37.3787
6.08081	42.0246	35.8853	-100	-100	42.0246	37.7497
6.28283	42.0872	35.8669	32.3632	-100	42.0871	38.0629
6.48485	42.1281	35.8533	33.0813	-100	42.128	38.3257
