log(E/eV)	eSyn
-6	7.79024
-5.85859	7.94565
-5.71717	8.10093
-5.57576	8.25583
-5.43434	8.41033
-5.29293	8.56434
-5.15152	8.71794
-5.0101	8.87132
-4.86869	9.02438
-4.72727	9.17697
-4.58586	9.32906
-4.44444	9.4808
-4.30303	9.63227
-4.16162	9.78333
-4.0202	9.93383
-3.87879	10.0838
-3.73737	10.2335
-3.59596	10.3829
-3.45455	10.5317
-3.31313	10.6799
-3.17172	10.8276
-3.0303	10.975
-2.88889	11.1219
-2.74747	11.2682
-2.60606	11.4139
-2.46465	11.5592
-2.32323	11.704
-2.18182	11.8483
-2.0404	11.9919
-1.89899	12.1348
-1.75758	12.2773
-1.61616	12.4193
-1.47475	12.5606
-1.33333	12.7012
-1.19192	12.8411
-1.05051	12.9805
-0.909091	13.1193
-0.767677	13.2574
-0.626263	13.3947
-0.484848	13.5312
-0.343434	13.6672
-0.20202	13.8026
-0.0606061	13.9371
0.0808081	14.0707
0.222222	14.2035
0.363636	14.3358
0.505051	14.4672
0.646465	14.5978
0.787879	14.7273
0.929293	14.8561
1.07071	14.9842
1.21212	15.1114
1.35354	15.2376
1.49495	15.3628
1.63636	15.4872
1.77778	15.6108
1.91919	15.7335
2.06061	15.855
2.20202	15.9755
2.34343	16.0952
2.48485	16.2141
2.62626	16.332
2.76768	16.4488
2.90909	16.5645
3.05051	16.6793
3.19192	16.7934
3.33333	16.9064
3.47475	17.0184
3.61616	17.1293
3.75758	17.2393
3.89899	17.3486
4.0404	17.4569
4.18182	17.5642
4.32323	17.6705
4.46465	17.776
4.60606	17.8807
4.74747	17.9847
4.88889	18.0877
5.0303	18.1898
5.17172	18.291
5.31313	18.3916
5.45455	18.4916
5.59596	18.5908
5.73737	18.6891
5.87879	18.7866
6.0202	18.8836
6.16162	18.9799
6.30303	19.0756
6.44444	19.1705
6.58586	19.2647
6.72727	19.3582
6.86869	19.4511
7.0101	19.5433
7.15152	19.6347
7.29293	19.7253
7.43434	19.8149
7.57576	19.9035
7.71717	19.9911
7.85859	20.0776
8	20.1626
