log(E/eV)	eSyn	muSy	piSy	eIC	piPP	piPG	totAbs
-2	40.4806	30.1463	28.1111	34.8831	-100	-100	40.4806
-1.79798	40.5762	30.3722	28.3385	35.2202	-100	-100	40.5762
-1.59596	40.6678	30.5985	28.567	35.5077	-100	-100	40.6678
-1.39394	40.7568	30.8252	28.7971	35.7408	-100	-100	40.7568
-1.19192	40.8444	31.0527	29.0286	35.9381	-100	-100	40.8444
-0.989899	40.9296	31.2811	29.2614	36.1103	-100	-100	40.9296
-0.787879	41.0099	31.5107	29.4957	36.2545	-100	-100	41.0099
-0.585859	41.0851	31.7419	29.7315	36.3801	-100	-100	41.0851
-0.383838	41.1577	31.9748	29.9686	36.5258	-100	-100	41.1578
-0.181818	41.2283	32.2093	30.207	36.6694	-100	-100	41.2283
0.020202	41.2939	32.4454	30.4467	36.8035	-100	-100	41.2939
0.222222	41.3524	32.6831	30.6877	36.9155	-100	-100	41.3524
0.424242	41.4061	32.9223	30.9298	37.0487	-100	-100	41.4061
0.626263	41.4579	33.1629	31.1731	37.1879	-100	-100	41.4579
0.828283	41.5067	33.4049	31.4174	37.3161	-100	-100	41.5067
1.0303	41.5486	33.6481	31.6626	37.4177	-100	-100	41.5486
1.23232	41.5839	33.8923	31.9086	37.5264	-100	-100	41.584
1.43434	41.616	34.1375	32.1555	37.6517	-100	-100	41.616
1.63636	41.645	34.3834	32.4031	37.7683	-100	-100	41.6451
1.83838	41.6665	34.6299	32.6512	37.8711	-100	-100	41.6666
2.0404	41.6784	34.8766	32.8999	37.9671	-100	-100	41.6785
2.24242	41.6852	35.1235	33.1491	38.085	-100	-100	41.6853
2.44444	41.6909	35.3702	33.3985	38.1912	-100	-100	41.6911
2.64646	41.6924	35.6166	33.6482	38.2888	-100	-100	41.6926
2.84848	41.6834	35.8627	33.898	38.3697	-100	-100	41.6836
3.05051	41.667	36.1085	34.1478	38.4121	-100	-100	41.6672
3.25253	41.6521	36.354	34.3975	38.515	-100	-100	41.6524
3.45455	41.6416	36.5994	34.647	38.6125	-100	-100	41.642
3.65657	41.6271	36.8445	34.8961	38.6937	-100	-100	41.6276
3.85859	41.6047	37.089	35.1446	38.7659	-100	-100	41.6053
4.06061	41.5834	37.3326	35.3924	38.8634	-100	-100	41.5842
4.26263	41.5724	37.5753	35.6395	38.948	-100	-100	41.5735
4.46465	41.5682	37.8167	35.8856	39.0283	-100	-100	41.5695
