log(E/eV)	eSyn	eIC	muSy	muIC	piPP	piPG	totAbs
-2	36.359	-100	-100	-100	-100	-100	36.359
-1.80808	36.406	-100	-100	-100	-100	-100	36.406
-1.61616	36.4528	-100	-100	-100	-100	-100	36.4528
-1.42424	36.4998	-100	-100	-100	-100	-100	36.4998
-1.23232	36.5444	-100	-100	-100	-100	-100	36.5444
-1.0404	36.5849	-100	-100	-100	-100	-100	36.5849
-0.848485	36.6228	-100	-100	-100	-100	-100	36.6228
-0.656566	36.661	-100	-100	-100	-100	-100	36.661
-0.464646	36.7002	-100	-100	-100	-100	-100	36.7002
-0.272727	36.7389	-100	-100	-100	-100	-100	36.7389
-0.0808081	36.7754	-100	-100	-100	-100	-100	36.7754
0.111111	36.8102	-100	-100	-100	-100	-100	36.8102
0.30303	36.8448	-100	-100	-100	-100	-100	36.8448
0.494949	36.8804	-100	-100	-100	-100	-100	36.8804
0.686869	36.9164	-100	-100	-100	-100	-100	36.9164
0.878788	36.9517	-100	-100	-100	-100	-100	36.9517
1.07071	36.9862	-100	-100	-100	-100	-100	36.9862
1.26263	37.0207	-100	-100	-100	-100	-100	37.0207
1.45455	37.0558	-100	-100	-100	-100	-100	37.0558
1.64646	37.0918	-100	-100	-100	-100	-100	37.0918
1.83838	37.1283	-100	-100	-100	-100	-100	37.1283
2.0303	37.165	-100	-100	-100	-100	-100	37.165
2.22222	37.202	-100	-100	-100	-100	-100	37.202
2.41414	37.2393	-100	-100	-100	-100	-100	37.2393
2.60606	37.2772	-100	-100	-100	-100	-100	37.2772
2.79798	37.3154	-100	-100	-100	-100	-100	37.3154
2.9899	37.3534	-100	-100	-100	-100	-100	37.3534
3.18182	37.3908	-100	-100	-100	-100	-100	37.3908
3.37374	37.4272	-100	-100	-100	-100	-100	37.4272
3.56566	37.4623	-100	-100	-100	-100	-100	37.4623
3.75758	37.4962	-100	-100	-100	-100	-100	37.4962
3.94949	37.5291	-100	-100	-100	-100	-100	37.5291
4.14141	37.5609	-100	-100	-100	-100	-100	37.5609
4.33333	37.5916	-100	-100	-100	-100	-100	37.5916
4.52525	37.6214	-100	-100	-100	-100	-100	37.6214
4.71717	37.6505	-100	-100	-100	-100	-100	37.6505
4.90909	37.6794	-100	-100	-100	-100	-100	37.6794
5.10101	37.7085	-100	-100	-100	-100	-100	37.7085
5.29293	37.7384	-100	-100	-100	-100	-100	37.7384
5.48485	37.7697	-100	-100	-100	-100	-100	37.7697
5.67677	37.8028	-100	-100	-100	-100	-100	37.8028
5.86869	37.8382	-100	-100	-100	-100	-100	37.8382
6.06061	37.8765	-100	-100	-100	-100	-100	37.8765
6.25253	37.9184	-100	-100	-100	-100	-100	37.9184
6.44444	37.9641	-100	-100	-100	-100	-100	37.9641
6.63636	38.0131	-100	-100	-100	-100	-100	38.0131
6.82828	38.0641	-100	-100	-100	-100	-100	38.0641
7.0202	38.1157	-100	-100	-100	-100	-100	38.1157
7.21212	38.1662	-100	-100	-100	-100	-100	38.1662
7.40404	38.2143	-100	-100	-100	-100	-100	38.2143
7.59596	38.2589	-100	-100	-100	-100	-100	38.2588
7.78788	38.2988	-100	-100	-100	-100	-100	38.2988
7.9798	38.3329	-100	-100	-100	-100	-100	38.3329
8.17172	38.3603	-100	-100	-100	-100	-100	38.3602
8.36364	38.3813	-100	-100	-100	-100	-100	38.3812
8.55556	38.3974	-100	-100	-100	-100	-100	38.3973
8.74747	38.4099	-100	-100	-100	-100	-100	38.4097
8.93939	38.4185	-100	-100	-100	-100	-100	38.4182
9.13131	38.4221	-100	-100	-100	-100	-100	38.4217
9.32323	38.4198	-100	-100	-100	-100	-100	38.4193
9.51515	38.4127	-100	-100	-100	-100	-100	38.4119
9.70707	38.4024	-100	-100	-100	-100	-100	38.4013
9.89899	38.3901	-100	-100	-100	-100	-100	38.3883
10.0909	38.3746	-100	-100	-100	-100	-100	38.3716
10.2828	38.354	-100	-100	-100	-100	-100	38.3488
10.4747	38.3274	-100	-100	-100	-100	-100	38.318
10.6667	38.2959	-100	-100	-100	-100	-100	38.2796
10.8586	38.2617	-100	-100	-100	-100	-100	38.2337
11.0505	38.225	-100	-100	-100	-100	-100	38.1765
11.2424	38.1842	-100	-100	-100	-100	-100	38.0995
11.4343	38.1371	-100	-100	-100	-100	-100	37.9879
11.6263	38.0827	-100	-100	-100	-100	-100	37.8233
11.8182	38.0214	-100	-100	-100	-100	-100	37.6039
12.0101	37.9538	-100	-100	-100	-100	-100	37.3488
12.202	37.8813	-100	-100	-100	-100	-100	37.0787
12.3939	37.8043	-100	-100	-100	-100	-100	36.8255
12.5859	37.7205	-100	-100	-100	-100	-100	36.5995
12.7778	37.6235	-100	-100	-100	-100	-100	36.3627
12.9697	37.5095	-100	-100	-100	-100	-100	36.0841
13.1616	37.3855	-100	-100	-100	-100	-100	35.8069
13.3535	37.2604	-100	-100	-100	-100	-100	35.5664
13.5455	37.1304	-100	-100	-100	-100	-100	35.3889
13.7374	36.9679	-100	-100	-100	-100	-100	35.2273
13.9293	36.7631	-100	-100	-100	-100	-100	35.0488
14.1212	36.5376	-100	-100	-100	-100	-100	34.8751
14.3131	36.3319	-100	-100	-100	-100	-100	34.7499
14.5051	36.0839	-100	-100	-100	-100	-100	34.602
14.697	35.7271	-100	-100	-100	-100	-100	34.3573
14.8889	35.2727	-100	-100	-100	-100	-100	34.0175
15.0808	34.9028	-100	-100	-100	-100	-100	33.7764
15.2727	34.4377	-100	-100	-100	-100	-100	33.4534
15.4646	33.5336	-100	-100	-100	-100	-100	32.6837
15.6566	32.869	-100	-100	-100	-100	-100	32.1613
15.8485	32.1634	-100	-100	-100	-100	-100	31.601
16.0404	30.6722	-100	-100	-100	-100	-100	30.2289
16.2323	29.3452	-100	-100	-100	-100	-100	29.0059
16.4242	28.069	-100	-100	-100	-100	-100	27.833
16.6162	26.0366	-100	-100	-100	-100	-100	25.864
16.8081	-100	-100	-100	-100	-100	-100	-100
17	-100	-100	-100	-100	-100	-100	-100
