Log(E/eV)	r [M]	Theta	Synchr
6	4.14844	0	0
7.22222	4.14844	0	0
8.44444	4.14844	0	0
9.66667	4.14844	0	0
10.8889	4.14844	0	0
12.1111	4.14844	0	0
13.3333	4.14844	0	0
14.5556	4.14844	0	0
15.7778	4.14844	0	0
17	4.14844	0	0
6	4.40139	0	-86.8905
7.22222	4.40139	0	-85.6682
8.44444	4.40139	0	-84.446
9.66667	4.40139	0	-83.2238
10.8889	4.40139	0	-82.0016
12.1111	4.40139	0	-80.7793
13.3333	4.40139	0	-79.5571
14.5556	4.40139	0	-78.3349
15.7778	4.40139	0	-77.1127
17	4.40139	0	-75.8905
6	4.65434	0	-78.6053
7.22222	4.65434	0	-77.3831
8.44444	4.65434	0	-76.1608
9.66667	4.65434	0	-74.9386
10.8889	4.65434	0	-73.7164
12.1111	4.65434	0	-72.4942
13.3333	4.65434	0	-71.272
14.5556	4.65434	0	-70.0497
15.7778	4.65434	0	-68.8275
17	4.65434	0	-67.6053
6	4.90729	0	-68.8841
7.22222	4.90729	0	-67.6618
8.44444	4.90729	0	-66.4396
9.66667	4.90729	0	-65.2174
10.8889	4.90729	0	-63.9952
12.1111	4.90729	0	-62.7729
13.3333	4.90729	0	-61.5507
14.5556	4.90729	0	-60.3285
15.7778	4.90729	0	-59.1063
17	4.90729	0	-57.8841
6	5.16025	0	-58.9141
7.22222	5.16025	0	-57.6919
8.44444	5.16025	0	-56.4696
9.66667	5.16025	0	-55.2474
10.8889	5.16025	0	-54.0252
12.1111	5.16025	0	-52.803
13.3333	5.16025	0	-51.5808
14.5556	5.16025	0	-50.3585
15.7778	5.16025	0	-49.1363
17	5.16025	0	-47.9141
6	5.4132	0	-49.3975
7.22222	5.4132	0	-48.1752
8.44444	5.4132	0	-46.953
9.66667	5.4132	0	-45.7308
10.8889	5.4132	0	-44.5086
12.1111	5.4132	0	-43.2864
13.3333	5.4132	0	-42.0641
14.5556	5.4132	0	-40.8419
15.7778	5.4132	0	-39.6197
17	5.4132	0	-38.3975
6	5.66615	0	-40.6638
7.22222	5.66615	0	-39.4416
