Log(E/eV)	r [M]	Theta	Synchr	Brems ei
6	4.14844	0	0	0
7.22222	4.14844	0	0	0
8.44444	4.14844	0	0	0
9.66667	4.14844	0	0	0
10.8889	4.14844	0	0	0
12.1111	4.14844	0	0	0
13.3333	4.14844	0	0	0
14.5556	4.14844	0	0	0
15.7778	4.14844	0	0	0
17	4.14844	0	0	0
6	4.40139	0	-86.8905	-73.2088
7.22222	4.40139	0	-85.6682	-72.6368
8.44444	4.40139	0	-84.446	-72.3982
9.66667	4.40139	0	-83.2238	-72.2451
10.8889	4.40139	0	-82.0016	-72.1322
12.1111	4.40139	0	-80.7793	-72.0426
13.3333	4.40139	0	-79.5571	-71.9684
14.5556	4.40139	0	-78.3349	-71.905
15.7778	4.40139	0	-77.1127	-71.8497
17	4.40139	0	-75.8905	-71.8007
6	4.65434	0	-78.6053	-66.995
7.22222	4.65434	0	-77.3831	-66.4229
8.44444	4.65434	0	-76.1608	-66.1844
9.66667	4.65434	0	-74.9386	-66.0313
10.8889	4.65434	0	-73.7164	-65.9183
12.1111	4.65434	0	-72.4942	-65.8287
13.3333	4.65434	0	-71.272	-65.7545
14.5556	4.65434	0	-70.0497	-65.6911
15.7778	4.65434	0	-68.8275	-65.6359
17	4.65434	0	-67.6053	-65.5868
6	4.90729	0	-68.8841	-59.704
7.22222	4.90729	0	-67.6618	-59.132
8.44444	4.90729	0	-66.4396	-58.8934
9.66667	4.90729	0	-65.2174	-58.7403
10.8889	4.90729	0	-63.9952	-58.6274
12.1111	4.90729	0	-62.7729	-58.5378
13.3333	4.90729	0	-61.5507	-58.4636
14.5556	4.90729	0	-60.3285	-58.4002
15.7778	4.90729	0	-59.1063	-58.3449
17	4.90729	0	-57.8841	-58.2959
6	5.16025	0	-58.9141	-52.2266
7.22222	5.16025	0	-57.6919	-51.6545
8.44444	5.16025	0	-56.4696	-51.416
9.66667	5.16025	0	-55.2474	-51.2629
10.8889	5.16025	0	-54.0252	-51.1499
12.1111	5.16025	0	-52.803	-51.0603
13.3333	5.16025	0	-51.5808	-50.9861
14.5556	5.16025	0	-50.3585	-50.9227
15.7778	5.16025	0	-49.1363	-50.8675
17	5.16025	0	-47.9141	-50.8184
6	5.4132	0	-49.3975	-45.0891
7.22222	5.4132	0	-48.1752	-44.5171
8.44444	5.4132	0	-46.953	-44.2785
9.66667	5.4132	0	-45.7308	-44.1254
10.8889	5.4132	0	-44.5086	-44.0124
12.1111	5.4132	0	-43.2864	-43.9229
13.3333	5.4132	0	-42.0641	-43.8486
14.5556	5.4132	0	-40.8419	-43.7853
15.7778	5.4132	0	-39.6197	-43.73
17	5.4132	0	-38.3975	-43.681
6	5.66615	0	-40.6638	-38.5388
7.22222	5.66615	0	-39.4416	-37.9668
8.44444	5.66615	0	-38.2194	-37.7283
9.66667	5.66615	0	-36.9971	-37.5752
10.8889	5.66615	0	-35.7749	-37.4622
12.1111	5.66615	0	-34.5527	-37.3726
13.3333	5.66615	0	-33.3305	-37.2984
14.5556	5.66615	0	-32.1082	-37.235
15.7778	5.66615	0	-30.886	-37.1797
17	5.66615	0	-29.6638	-37.1307
6	5.9191	0	-32.8398	-32.6708
7.22222	5.9191	0	-31.6176	-32.0988
8.44444	5.9191	0	-30.3953	-31.8602
9.66667	5.9191	0	-29.1731	-31.7071
10.8889	5.9191	0	-27.9509	-31.5942
12.1111	5.9191	0	-26.7287	-31.5046
13.3333	5.9191	0	-25.5065	-31.4304
14.5556	5.9191	0	-24.2842	-31.367
15.7778	5.9191	0	-23.062	-31.3117
17	5.9191	0	-21.8398	-31.2627
6	6.17206	0	-25.9436	-27.4987
7.22222	6.17206	0	-24.7214	-26.9267
8.44444	6.17206	0	-23.4992	-26.6881
9.66667	6.17206	0	-22.277	-26.535
10.8889	6.17206	0	-21.0547	-26.4221
12.1111	6.17206	0	-19.8325	-26.3325
13.3333	6.17206	0	-18.6103	-26.2583
14.5556	6.17206	0	-17.3881	-26.1949
15.7778	6.17206	0	-16.1658	-26.1396
17	6.17206	0	-14.9436	-26.0906
6	6.42501	0	-19.9374	-22.994
7.22222	6.42501	0	-18.7152	-22.422
8.44444	6.42501	0	-17.4929	-22.1834
9.66667	6.42501	0	-16.2707	-22.0303
10.8889	6.42501	0	-15.0485	-21.9174
12.1111	6.42501	0	-13.8263	-21.8278
13.3333	6.42501	0	-12.604	-21.7536
14.5556	6.42501	0	-11.3818	-21.6902
15.7778	6.42501	0	-10.1596	-21.6349
17	6.42501	0	-8.93738	-21.5859
6	6.67796	0	-14.7563	-19.1082
7.22222	6.67796	0	-13.5341	-18.5362
8.44444	6.67796	0	-12.3118	-18.2976
9.66667	6.67796	0	-11.0896	-18.1445
10.8889	6.67796	0	-9.86739	-18.0315
12.1111	6.67796	0	-8.64517	-17.942
13.3333	6.67796	0	-7.42295	-17.8678
14.5556	6.67796	0	-6.20073	-17.8044
15.7778	6.67796	0	-4.9785	-17.7491
17	6.67796	0	-3.75628	-17.7001
6	6.93091	0	-10.325	-15.7847
7.22222	6.93091	0	-9.10274	-15.2127
8.44444	6.93091	0	-7.88052	-14.9741
9.66667	6.93091	0	-6.65829	-14.821
10.8889	6.93091	0	-5.43607	-14.7081
12.1111	6.93091	0	-4.21385	-14.6185
13.3333	6.93091	0	-2.99163	-14.5443
14.5556	6.93091	0	-1.7694	-14.4809
15.7778	6.93091	0	-0.547182	-14.4256
17	6.93091	0	0.67504	-14.3766
6	7.18387	0	-6.56636	-12.9658
7.22222	7.18387	0	-5.34414	-12.3938
8.44444	7.18387	0	-4.12192	-12.1552
9.66667	7.18387	0	-2.8997	-12.0021
10.8889	7.18387	0	-1.67748	-11.8891
12.1111	7.18387	0	-0.455254	-11.7995
13.3333	7.18387	0	0.766969	-11.7253
14.5556	7.18387	0	1.98919	-11.662
15.7778	7.18387	0	3.21141	-11.6067
17	7.18387	0	4.43364	-11.5576
6	7.43682	0	-3.40645	-10.5958
7.22222	7.43682	0	-2.18422	-10.0238
8.44444	7.43682	0	-0.962002	-9.78524
9.66667	7.43682	0	0.26022	-9.63214
10.8889	7.43682	0	1.48244	-9.51917
12.1111	7.43682	0	2.70466	-9.4296
13.3333	7.43682	0	3.92689	-9.35538
14.5556	7.43682	0	5.14911	-9.29202
15.7778	7.43682	0	6.37133	-9.23673
17	7.43682	0	7.59355	-9.18769
6	7.68977	0	-0.776452	-8.62334
7.22222	7.68977	0	0.44577	-8.05132
8.44444	7.68977	0	1.66799	-7.81275
9.66667	7.68977	0	2.89021	-7.65964
10.8889	7.68977	0	4.11244	-7.54667
12.1111	7.68977	0	5.33466	-7.4571
13.3333	7.68977	0	6.55688	-7.38289
14.5556	7.68977	0	7.7791	-7.31952
15.7778	7.68977	0	9.00133	-7.26423
17	7.68977	0	10.2235	-7.2152
6	7.94272	0	1.38614	-7.00139
7.22222	7.94272	0	2.60836	-6.42937
8.44444	7.94272	0	3.83059	-6.1908
9.66667	7.94272	0	5.05281	-6.0377
10.8889	7.94272	0	6.27503	-5.92473
12.1111	7.94272	0	7.49725	-5.83516
13.3333	7.94272	0	8.71947	-5.76094
14.5556	7.94272	0	9.9417	-5.69758
15.7778	7.94272	0	11.1639	-5.64229
17	7.94272	0	12.3861	-5.59325
6	8.19568	0	3.13745	-5.68791
7.22222	8.19568	0	4.35968	-5.11589
8.44444	8.19568	0	5.5819	-4.87732
9.66667	8.19568	0	6.80412	-4.72421
10.8889	8.19568	0	8.02634	-4.61124
12.1111	8.19568	0	9.24856	-4.52167
13.3333	8.19568	0	10.4708	-4.44746
14.5556	8.19568	0	11.693	-4.38409
15.7778	8.19568	0	12.9152	-4.32881
17	8.19568	0	14.1375	-4.27977
6	8.44863	0	4.52744	-4.64542
7.22222	8.44863	0	5.74966	-4.0734
8.44444	8.44863	0	6.97188	-3.83483
9.66667	8.44863	0	8.19411	-3.68172
10.8889	8.44863	0	9.41633	-3.56875
12.1111	8.44863	0	10.6385	-3.47919
13.3333	8.44863	0	11.8608	-3.40497
14.5556	8.44863	0	13.083	-3.3416
